name	rawTweet	date
240808845	"🏫 SCHOOLS - KEY WORKERS 🏫 

Please see the link below for details, but please also note that *if it is at all possi… https://t.co/nO76fpzDzY"	Mar 20 2020
482061482	"Dans les jours venir une fonction ""fermeture temporaire"" sera disponible pour les gestionnaires de pages sur Google… https://t.co/o48this9ky"	Mar 20 2020
880065784982011905	RT @sardesairajdeep: As the PM prepares to interact with state CMs, the one state he and others may wish to hold up as a exemplar in fight…	Mar 20 2020
431586732	"RT @TidPromo: 🗣 ข่าวดี สปคม. ตรวจ COVID-19 ราคาแค่ 2,700 บาท
ใช้เวลาในการตรวจน้อยมาก แค่ 5 นาทีเท่านั้น หลังจากนั้นจะมีเจ้าหน้าที่โทรแจ้งผล…"	Mar 20 2020
149255191	RT @ElSaltoDiario: ¿Podemos diseñar y desarrollar un respirador médico de código abierto? Con esta pregunta el 11 de febrero se creó un gru…	Mar 20 2020
1432711284	RT @bradleyziffer: So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t…	Mar 20 2020
1227102807733334016	RT @Anakbayan_FEU: NAPAPAGOD DIN KAMI | Sa gitna ng kapabayaan ng gobyerno sa krisis pangkalusugan, nagbigay ng mainit na patutsada si OWWA…	Mar 20 2020
1251918272	RT @tweetebitlew: Ya Allah selamatkanlah negara kami dan seluruh dunia dari Covid-19 ini. Ajak keluarga solat berdoa menangis di rumah.	Mar 20 2020
2922940405	"RT @husnazmn_: ‘’Apakah sumbangan anda pada negara?”

“Saya duduk rumah ketika covid-19 melanda negara”"	Mar 20 2020
1733601540	"RT @SoDebNair: White People: COVID-19

Black Folks: the RONA 

Gay People : Miss Rona 

😭☠️"	Mar 20 2020
885487044243238912	“Nature is reminding us to acknowledge, with humility, our quintessential equality and interdependence. “ — Preside… https://t.co/sydJTS5FIm	Mar 20 2020
154156175	Juez ordena a gobierno de AMLO medidas preventivas y acciones contra coronavirus https://t.co/mQkcdKqEuZ vía @El_Universal_Mx	Mar 20 2020
2392039901	"RT @T_Fiolet: Kit de survie pour s'y retrouver dans les informations scientifiques sur le #COVID2019france

Synthèse grand public des publi…"	Mar 20 2020
4444781834	@vijayrupanibjp How many people detected in Gujarath Covid 19	Mar 20 2020
1045151875845087233	RT @ronimarie_: BREAKING NEWS: The Catalina Wine Mixer has been cancelled due to the recent COVID-19 outbreak. https://t.co/rkHXrh2A1e	Mar 20 2020
