date	label	text	url	text_url
Apr 04 2020	1	"RT @charliekirk11: Let me get this straight:

Joe Biden called Trump's China Travel Ban as ""Hysterical xenophobia""

Now his campaign says h…"	https://twitter.com/zack29266449/status/1246569547508756480	"RT @charliekirk11: Let me get this straight:

Joe Biden called Trump's China Travel Ban as ""Hysterical xenophobia""

Now his campaign says h…  https://twitter.com/zack29266449/status/1246569547508756480"
Apr 04 2020	2	"RT @Yamiche: Wow

Trump, who says he tested negative for virus twice, says he may start take hydroxychloroquine, anti-malaria drug he think…"	https://twitter.com/Yeah_right_sure/status/1246569547018260480	"RT @Yamiche: Wow

Trump, who says he tested negative for virus twice, says he may start take hydroxychloroquine, anti-malaria drug he think…  https://twitter.com/Yeah_right_sure/status/1246569547018260480"
Apr 04 2020	1	RT @marklevinshow: 1. I want to thank President Trump &amp; VP Pence for their tireless efforts during this pandemic. While the Democrat leader…	https://twitter.com/tweet4lfe/status/1246569543536869377	RT @marklevinshow: 1. I want to thank President Trump &amp; VP Pence for their tireless efforts during this pandemic. While the Democrat leader…  https://twitter.com/tweet4lfe/status/1246569543536869377
Apr 04 2020	0	RT @Bozi_4_America: Well Trump just said this virus was Artificially Induced! 🤔 What do you think he meant?	https://twitter.com/screwccp/status/1246569541343170560	RT @Bozi_4_America: Well Trump just said this virus was Artificially Induced! 🤔 What do you think he meant?  https://twitter.com/screwccp/status/1246569541343170560
Apr 04 2020	1	"Assista a ""É MAIS GRAVE! TRUMP ALERTA: DUAS SEMANAS DIFÍCEIS VEM AÍ"" no YouTube https://t.co/guaPAZ0vnZ 
OS PAISES… https://t.co/tYHpydbdQi"	https://twitter.com/FatimaHermes/status/1246569538474344449	"Assista a ""É MAIS GRAVE! TRUMP ALERTA: DUAS SEMANAS DIFÍCEIS VEM AÍ"" no YouTube https://t.co/guaPAZ0vnZ 
OS PAISES… https://t.co/tYHpydbdQi  https://twitter.com/FatimaHermes/status/1246569538474344449"
Apr 04 2020	1	RT @RadioFreeTom: Trump is now not only dumping on the captain of the Roosevelt, but implying that somehow things on his ship were bad beca…	https://twitter.com/Bill99white/status/1246569538411532288	RT @RadioFreeTom: Trump is now not only dumping on the captain of the Roosevelt, but implying that somehow things on his ship were bad beca…  https://twitter.com/Bill99white/status/1246569538411532288
Apr 04 2020	2	"RT @Bill_Maxwell_: Trump again pushing Chloroquine:

""I'll just speak for myself,"" (Because the doctors DO NOT agree)
""It's also a drug for…"	https://twitter.com/carlatodd2/status/1246569535857033221	"RT @Bill_Maxwell_: Trump again pushing Chloroquine:

""I'll just speak for myself,"" (Because the doctors DO NOT agree)
""It's also a drug for…  https://twitter.com/carlatodd2/status/1246569535857033221"
Apr 04 2020	2	RT @bendur6: Hollywood is threatening a strike until Trump leaves office, does that mean no commercials,no talk showsno appearances at all?…	https://twitter.com/brightstarair/status/1246569535794229249	RT @bendur6: Hollywood is threatening a strike until Trump leaves office, does that mean no commercials,no talk showsno appearances at all?…  https://twitter.com/brightstarair/status/1246569535794229249
Apr 04 2020	2	"RT @Yamiche: Wow

Trump, who says he tested negative for virus twice, says he may start take hydroxychloroquine, anti-malaria drug he think…"	https://twitter.com/AJLinBoston/status/1246569535743950849	"RT @Yamiche: Wow

Trump, who says he tested negative for virus twice, says he may start take hydroxychloroquine, anti-malaria drug he think…  https://twitter.com/AJLinBoston/status/1246569535743950849"
Apr 04 2020	1	RT @BeauTFC: Just a quick reminder that while Trump was babbling during his press conference about reopening, people were choking to death…	https://twitter.com/mathew_ahrens/status/1246569533634117637	RT @BeauTFC: Just a quick reminder that while Trump was babbling during his press conference about reopening, people were choking to death…  https://twitter.com/mathew_ahrens/status/1246569533634117637
